LayDay,clutch,bin,postlay,clutch.size,eggcode,eggmass,post.eggmass,dam.oby,hatch
117,1,175,5.2,7,C,0.4,0.4,bo,1
100,1,166,5.52,7,C,0.4,0.4,bo,1
86,1,144,5.18,6,C,0.4,0.4,bo,0
86,1,146,4.22,5,C,0.4,0.4,bo,0
157,3,117,4.31,5,C,0.4,0.4,bo,1
157,3,117,4.31,5,C,0.4,0.4,bo,1
140,2,114,4.72,5,C,0.4,0.4,bo,1
156,3,112,4.95,4,C,0.4,0.4,bo,1
112,2,144,5.14,7,C,0.39,0.39,bo,1
100,1,166,5.52,7,C,0.39,0.39,bo,1
100,1,166,5.52,7,C,0.39,0.39,bo,1
100,1,166,5.52,7,C,0.39,0.39,bo,1
90,1,160,4.86,6,C,0.39,0.39,bo,0
109,1,136,4.06,5,C,0.39,0.39,bo,1
88,1,135,4.79,5,C,0.39,0.39,bo,1
110,1,107,4.43,4,C,0.39,0.39,bo,0
103,1,147,4.47,7,C,0.38,0.38,bo,1
112,2,144,5.14,7,C,0.38,0.38,bo,1
112,2,144,5.14,7,C,0.38,0.38,bo,1
76,1,117,4.17,6,C,0.38,0.38,bo,1
86,1,144,5.18,6,C,0.38,0.38,bo,0
88,1,135,4.79,5,C,0.38,0.38,bo,0
124,2,112,4.57,4,C,0.38,0.38,bo,0
156,3,112,4.95,4,C,0.43,0.37,bo,1
103,1,147,4.47,7,C,0.37,0.37,bo,1
112,2,144,5.14,7,C,0.37,0.37,bo,1
95,1,161,4.26,6,C,0.37,0.37,bo,1
89,1,158,4.52,6,C,0.37,0.37,bo,1
89,1,158,4.52,6,C,0.37,0.37,bo,1
90,1,160,4.86,6,C,0.37,0.37,bo,1
114,2,102,5.06,6,C,0.37,0.37,bo,0
86,1,144,5.18,6,C,0.37,0.37,bo,1
140,2,114,4.72,5,C,0.37,0.37,bo,1
124,2,130,5.31,5,C,0.37,0.37,bo,0
138,2,166,5.56,6,C,0.46,0.36,bo,1
89,1,158,4.52,6,C,0.36,0.36,bo,1
89,1,158,4.52,6,C,0.36,0.36,bo,1
90,1,160,4.86,6,C,0.36,0.36,bo,0
82,1,107,4.43,5,C,0.36,0.36,bo,0
88,1,135,4.79,5,C,0.36,0.36,bo,1
112,2,144,5.14,7,C,0.35,0.35,bo,1
95,1,161,4.26,6,C,0.35,0.35,bo,1
95,1,161,4.26,6,C,0.35,0.35,bo,1
95,1,161,4.26,6,C,0.35,0.35,bo,1
94,1,114,4.72,4,C,0.35,0.35,bo,1
188,2,106,5.43,3,C,0.35,0.35,bo,0
156,3,112,4.95,4,C,0.42,0.34,bo,1
103,1,147,4.47,7,C,0.34,0.34,bo,1
